X,Y,Layer1
78.5,17.0,7.2932897
79.0,17.0,6.5796666
79.5,17.0,6.3037047
80.0,17.0,6.3066554
80.5,17.0,6.168153
81.0,17.0,6.620155
81.5,17.0,6.2909536
82.0,17.0,6.51482
82.5,17.0,6.9720025
83.0,17.0,7.2173123
83.5,17.0,7.3792124
84.0,17.0,7.420093
84.5,17.0,7.4363265
72.0,16.5,6.180465
72.5,16.5,5.599579
73.0,16.5,5.3833547
73.5,16.5,5.4398546
74.0,16.5,7.005479
74.5,16.5,7.4507947
75.0,16.5,7.569136
75.5,16.5,7.504582
76.0,16.5,7.5476556
76.5,16.5,7.015806
77.0,16.5,6.537175
77.5,16.5,6.429252
78.0,16.5,6.6440225
78.5,16.5,6.84955
79.0,16.5,6.954586
79.5,16.5,6.621818
80.0,16.5,6.609463
80.5,16.5,6.4585514
81.0,16.5,6.8916507
81.5,16.5,7.035439
82.0,16.5,6.8197436
82.5,16.5,7.0086703
83.0,16.5,7.218432
83.5,16.5,7.347681
84.0,16.5,7.3793893
72.0,16.0,6.1715593
72.5,16.0,5.6325226
73.0,16.0,5.406806
73.5,16.0,5.3906703
74.0,16.0,6.1108117
74.5,16.0,7.569511
75.0,16.0,7.481439
75.5,16.0,7.239282
76.0,16.0,7.6361275
76.5,16.0,7.6101065
77.0,16.0,6.762797
77.5,16.0,6.7933273
78.0,16.0,6.762746
78.5,16.0,6.1804824
79.0,16.0,6.552362
79.5,16.0,6.103834
80.0,16.0,6.4193707
80.5,16.0,6.547207
81.0,16.0,6.824002
81.5,16.0,6.7087126
82.0,16.0,6.824935
82.5,16.0,7.0190377
83.0,16.0,7.187719
83.5,16.0,7.304614
72.0,15.5,6.148363
72.5,15.5,5.670686
73.0,15.5,5.4489636
73.5,15.5,5.306611
74.0,15.5,4.810748
74.5,15.5,7.1535735
75.0,15.5,7.646971
75.5,15.5,7.764427
76.0,15.5,7.786468
76.5,15.5,7.730268
77.0,15.5,7.4558516
77.5,15.5,7.6742444
78.0,15.5,7.3417664
78.5,15.5,5.8136473
79.0,15.5,6.5172825
79.5,15.5,6.371903
80.0,15.5,6.514344
80.5,15.5,6.342494
81.0,15.5,6.61266
81.5,15.5,6.8298173
82.0,15.5,6.915727
82.5,15.5,7.029419
83.0,15.5,7.17185
72.5,15.0,5.6966076
